rt AT_USER why black people always turn a kids party into an adults party after 7:30 pm \ud83e\udd14.. the drinks change the music change everythin\u2026,negative,1.0
"billboard: may has been a great month for music, so far\ud83c\udfb6 URL URL",positive,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
bad liar music video boring,negative,1.0
album topmusicuk 5: jazz time: the music of neil diamond: jazz time: the music of neil\u2026 URL topjazz amazon britain,negative,1.0
\ud83d\ude4c yasss it's time for a great show \ud83d\udc51teammindye\ud83c\udf70:music lit coindr\nURL URL,positive,1.0
AT_USER really excited for the music video blaze \u261d\ud83c\udffb,positive,1.0
rem music video lost sleep ! great one!\nURL,positive,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER i get so offended when someone doesn't feel the music i play like how dare u disrespect me and my music taste like\u2026 ,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
rt AT_USER think i'm turning the music up and fuck around and fuck up my transmission URL,negative,1.0
album topmusicspain 1: vivaldi gloria: vivaldi gloria academy of ancient music\u2026 URL topopera amazon espa\u00f1a,negative,1.0
play music by tamer - URL AT_USER,negative,1.0
promote your upcoming album on artistrack URL and get a shoutout on instagram twitter facbook music,negative,1.0
"rt AT_USER i want a relationship where we can act like idiots, talk about the most random stuff, share music, and never get tired\u2026",negative,1.0
that's music to my ears.' \u306f\u3069\u3093\u306a\u610f\u5473\u3060\u3068\u601d\u3044\u307e\u3059\u304b\uff1f\u3000\u300c\u305d\u308c\u306f\u79c1\u306e\u8033\u306b\u3068\u3063\u3066\u97f3\u697d\u3060\u300d\uff1f\uff1f\n\u7b54\u3048\u306f\u30b3\u30c1\u30e9\n\u2193\n\u2193\n\u2193\n\u2193\n\u2193\n\u300c\u305d\u308c\u306f\u5b09\u3057\u3044\u8a00\u8449\u3060\u300d\n\n\u4eca\u65e5\u306f 'music to one's... URL,negative,1.0
"gooooooooood morning, and welcome to inspirationalhour with AT_USER starting out your day with music that edifies &amp; glorifies god!",positive,1.0
"AT_USER it has nothing to do with his music, he's just an insecure, closeted fuckboy and it's obvious. also,\u2026 URL",negative,1.0
"rt AT_USER passionarte 1: nemplok | 19-21 mei, sangkring art space | fashion, photo, visual art exhibition, passion eat, works\u2026 ",negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
"can't wait to play todays songs around my kids in the future. \""you don't know nothing bout this baby this grown folks music\"" \ud83d\ude02",positive,1.0
rt AT_USER i need answers AT_USER \ud83d\udc40 URL,negative,1.0
"rt AT_USER stream the first ever spotify music video, badliar by selena gomez here: URL",negative,1.0
good hood music makes a good girl 10 better.,positive,1.0
i hate my car for this bullshit URL,negative,1.0
do most mainstream artists forget how to write good music these days yike URL,positive,1.0
AT_USER \ud83d\ude4b\ud83c\udffdindependent song\u270d\ud83c\udffe. not a vocalist but i would love to help if u don't write. music \ud83c\udf0e need new everything. reaching out,positive,1.0
che? URL,negative,1.0
90's* URL,negative,1.0
rt AT_USER so thrilled AT_USER is bringing back AT_USER and i\u2019m bringing it back to the \ud83c\udfb6music\ud83c\udfb6 \ud83d\udc41 you at auditions\u2757 URL,negative,1.0
when you're ready to move forward in your music career send a demo to biginhollandmgAT_USER indiemusic rock URL,positive,1.0
rt AT_USER when you are happy you enjoy the music... quote quotestoliveby quoteoftheday quotes quotesforlife music\u2026 ,positive,1.0
smash mouth walking on the sun music video URL,negative,1.0
"rt AT_USER when i play my music, all my problems, stress, bad moods disappear, for a while.",negative,1.0
"rt AT_USER mess bad liar sounds like a revival reject. girlie been releasing the same music since her first album. no growth,\u2026 ",negative,1.0
album topmusicgermany 7: music for 18 musicians: music for 18 musicians\u2026 URL topclassical amazon deutschland,negative,1.0
rt AT_USER think i'm turning the music up and fuck around and fuck up my transmission URL,negative,1.0
still can't believe i missed justin filming a random music video at all the spots i was at \ud83d\ude02\ud83d\ude02 URL,negative,1.0
rt AT_USER jacquees is baby makin music don't try me,negative,1.0
rt AT_USER jacquees is baby makin music don't try me,negative,1.0
"AT_USER yep, because that's what i am, and your stance on rock music isn't the main subject here",positive,1.0
rt AT_USER selena has some bops from her star dance era but since then she has been releasing bad music im not even hating is just\u2026,negative,1.0
"say that to jonghyun's lamborghini, all the music he's produced for himself, his band, artists in n out his label URL",negative,1.0
\ud83d\udc40 URL,negative,1.0
rt AT_USER camila on her apple music page. URL,negative,1.0
rt AT_USER that surreal moment when chance the rapper promotes your music.. everyone go give my first track a listen!\u2026 ,positive,1.0
bad liar - music video URL,negative,1.0
thankful for all the musical soulmates the universe has placed in my life. \n\nmusic is healing.,positive,1.0
"rt AT_USER sex will only keep me interested for so long. your conversation, sense of humor, and music taste have to be equally as good",positive,1.0
rt AT_USER jacquees is baby makin music don't try me,negative,1.0
listening to fats domino - i'm walking on torchmusic. now in google play store for free URL via AT_USER,negative,1.0
rt AT_USER URL if you want to see AT_USER perform at the 2017 billboard music awards! URL,negative,1.0
rt AT_USER lmfao i'd end up launching myself threw the windshield just trynna turn the music down URL,negative,1.0
rt AT_USER dear AT_USER ever since you left AT_USER your music has been \ud83d\udeae\ud83d\udeae\ud83d\udeae it's always been trash just more than usual. muva,negative,1.0
\u3010mikiki\u3011\u30a8\u30a4\u30df\u30fc\u30fb\u30de\u30f3 \u300emental illness\u300f \u7e4a\u7d30\u306a\u30a2\u30b3\u30ae\u306e\u97f3\u8272\u3068\u4f38\u3073\u3084\u304b\u306a\u6b4c\u58f0\u306770s\u8abf\u306e\u30d5\u30a9\u30fc\u30af\u30fb\u30ed\u30c3\u30af\u6f14\u594f\u3057\u305f9\u4f5c\u76ee - reviews URL music,negative,1.0
"rt AT_USER no matter the concept, \ub3c4\uc6d0\uacbd whether it be bright or dark or somewhere in between, vixx's music has its own special\u2026 ",negative,1.0
\u305d\u306e\u524d\u306bmusic fair\u3068\u95a2\u30b8\u30e3\u30e0\u3042\u308b\u3057\u3001\u305f\u306e\u3057\u307f\u3057\u304b\u306a\u3044\u301c\u301c\u301c,negative,1.0
"rt AT_USER before, bangtan's only wish is to win 1st place in a music show, but now they're receiving so much recognition all\u2026 ",negative,1.0
rt AT_USER camila on her apple music page. URL,negative,1.0
a fact URL,negative,1.0
rt AT_USER who's new music are you most excited about this week? AT_USER badliar AT_USER cryinglntheclub selenators\u2026,positive,1.0
